Acedamic percentage,Hours Studying per day,Logical quotient rating,hackathons,coding skills rating,public speaking points,can work long time before system,self-learning capability,Extra-courses did,certifications,workshops,talenttests taken,olympiads,reading and writing skills,memory capability score,Interested subjects,interested career area,Job/Higher Studies,Type of company want to settle in,Taken inputs from seniors or elders,interested in games,Interested Type of Books,Salary Range Expected,Gentle or Tuff behaviour,Salary/work,hard/smart worker,Introvert,Suggested Job Role
66,9,8,6,2,9,no,yes,no,hadoop,hacking,yes,yes,excellent,excellent,Computer Architecture,testing,job,SAaS services,no,yes,Childrens,Work,stubborn,salary,smart worker,yes,Software Engineer
83,11,3,6,9,5,no,no,yes,app development,system designing,no,no,poor,poor,Computer Architecture,Business process analyst,job,Testing and Maintainance Services,no,yes,Encyclopedias,Work,gentle,salary,hard worker,yes,Stock Investor
66,9,8,5,7,4,no,yes,no,shell programming,cloud computing,no,no,excellent,poor,hacking,Business process analyst,job,BPA,no,no,Encyclopedias,Work,stubborn,work,smart worker,yes,Accountant
70,8,8,0,4,7,yes,no,no,full stack,system designing,yes,no,medium,medium,data engineering,testing,job,Finance,yes,yes,Action and Adventure,Work,stubborn,work,smart worker,yes,Software Engineer
78,10,6,2,1,8,yes,yes,yes,app development,hacking,yes,yes,poor,poor,cloud computing,Business process analyst,job,SAaS services,no,yes,Anthology,salary,gentle,salary,hard worker,no,Doctor
74,5,5,1,6,9,yes,yes,yes,python,game development,yes,yes,poor,excellent,Software Engineering,testing,higherstudies,BPA,yes,yes,Action and Adventure,Work,gentle,work,hard worker,yes,Doctor
85,5,9,1,1,9,no,yes,no,app development,web technologies,yes,no,medium,excellent,Software Engineering,cloud computing,job,Web Services,no,yes,Dictionaries,Work,stubborn,salary,smart worker,no,Game Developer
61,5,3,2,6,7,no,yes,yes,machine learning,data science,yes,no,medium,medium,IOT,security,higherstudies,Cloud Services,yes,yes,Fantasy,Work,gentle,salary,hard worker,no,Accountant
71,11,7,4,8,1,yes,yes,yes,full stack,web technologies,no,yes,poor,medium,Software Engineering,Business process analyst,job,SAaS services,no,yes,Childrens,salary,gentle,work,smart worker,no,Doctor
67,8,9,0,5,8,yes,yes,no,machine learning,testing,yes,no,poor,excellent,Management,security,higherstudies,Cloud Services,yes,yes,Drama,Work,gentle,work,hard worker,no,Accountant
76,5,5,6,8,4,yes,yes,no,shell programming,testing,yes,no,poor,medium,networks,Business process analyst,higherstudies,Testing and Maintainance Services,no,no,Comics,Work,stubborn,salary,hard worker,no,Doctor
69,4,7,4,2,9,yes,yes,no,python,testing,no,yes,poor,excellent,data engineering,security,higherstudies,BPA,yes,no,Art,salary,stubborn,work,hard worker,no,Software Engineer
81,7,7,6,5,5,no,yes,yes,shell programming,cloud computing,yes,no,medium,medium,Software Engineering,system developer,job,Finance,yes,no,Horror,Work,stubborn,salary,smart worker,yes,Stock Investor
79,9,7,1,3,5,yes,yes,no,python,database security,yes,no,poor,poor,hacking,cloud computing,job,Product based,no,no,Self help,Work,stubborn,work,hard worker,yes,Business Owner
73,10,5,5,9,5,no,no,no,distro making,database security,yes,no,excellent,poor,Computer Architecture,system developer,job,Service Based,yes,no,Diaries,Work,stubborn,salary,hard worker,no,Doctor
69,12,2,1,1,5,yes,yes,no,information security,database security,no,yes,excellent,poor,parallel computing,security,higherstudies,Web Services,yes,yes,Science fiction,Work,stubborn,work,smart worker,no,Lawyer
75,11,4,3,2,4,yes,no,yes,machine learning,cloud computing,yes,no,poor,medium,hacking,cloud computing,job,SAaS services,no,no,Comics,Work,stubborn,salary,smart worker,yes,Doctor
73,4,5,0,6,2,yes,yes,no,information security,testing,yes,yes,poor,poor,programming,testing,higherstudies,BPA,no,yes,Series,Work,stubborn,work,smart worker,no,Business Owner
62,6,8,1,4,6,no,yes,yes,information security,database security,yes,yes,medium,medium,hacking,security,higherstudies,Cloud Services,no,yes,Childrens,Work,stubborn,work,hard worker,yes,Software Engineer
69,10,3,5,2,8,no,yes,yes,hadoop,cloud computing,yes,yes,poor,poor,cloud computing,Business process analyst,job,Service Based,yes,no,Self help,salary,stubborn,salary,hard worker,yes,Lawyer
69,10,6,3,7,8,yes,yes,no,shell programming,system designing,yes,no,poor,poor,parallel computing,system developer,higherstudies,Finance,no,no,Guide,Work,stubborn,salary,smart worker,no,Accountant
65,8,3,0,4,3,yes,no,no,machine learning,hacking,yes,yes,poor,poor,networks,cloud computing,higherstudies,Cloud Services,no,yes,Biographies,salary,gentle,salary,hard worker,no,Software Engineer
76,5,9,6,1,7,no,no,no,full stack,testing,yes,no,poor,medium,Management,testing,job,Web Services,no,yes,Series,salary,gentle,work,smart worker,no,Business Owner
74,9,5,0,7,9,yes,yes,yes,distro making,hacking,yes,no,excellent,poor,hacking,developer,job,Testing and Maintainance Services,yes,no,Health,Work,stubborn,salary,smart worker,yes,Stock Investor
86,6,3,4,3,8,yes,no,yes,machine learning,system designing,no,no,poor,poor,data engineering,security,job,product development,yes,yes,Diaries,Work,stubborn,salary,hard worker,yes,Game Developer
64,4,7,0,4,4,no,no,no,distro making,testing,yes,yes,poor,excellent,Computer Architecture,developer,job,Web Services,yes,yes,Journals,Work,stubborn,work,hard worker,yes,Accountant
93,7,2,2,8,7,no,no,yes,full stack,cloud computing,yes,yes,poor,excellent,parallel computing,Business process analyst,job,Finance,no,yes,Diaries,Work,stubborn,work,hard worker,no,Game Developer
94,7,6,5,6,5,yes,yes,no,machine learning,game development,yes,no,medium,medium,Management,security,job,BPA,yes,no,Diaries,Work,stubborn,salary,hard worker,no,Game Developer
88,10,1,3,6,5,yes,no,no,r programming,web technologies,no,yes,poor,poor,Management,developer,higherstudies,Cloud Services,yes,no,Art,Work,stubborn,salary,smart worker,yes,Game Developer
76,10,2,5,1,8,yes,no,no,python,data science,no,no,medium,medium,cloud computing,security,job,Service Based,yes,no,Prayer books,salary,stubborn,salary,hard worker,yes,Business Owner
80,9,8,2,1,8,no,no,no,information security,cloud computing,no,yes,excellent,poor,Computer Architecture,cloud computing,job,BPA,yes,no,Guide,Work,stubborn,work,smart worker,yes,Stock Investor
75,8,3,5,4,3,no,yes,yes,python,database security,no,no,medium,excellent,data engineering,system developer,higherstudies,Web Services,no,no,Childrens,Work,gentle,work,hard worker,no,Doctor
69,12,7,0,4,6,no,yes,yes,hadoop,testing,yes,yes,medium,poor,data engineering,security,job,Cloud Services,yes,yes,Art,salary,gentle,salary,smart worker,no,Software Engineer
83,8,3,2,7,4,yes,no,no,r programming,cloud computing,yes,no,excellent,medium,networks,system developer,job,Service Based,yes,yes,History,Work,gentle,salary,smart worker,yes,Stock Investor
88,4,6,0,9,7,yes,no,yes,hadoop,web technologies,yes,no,poor,poor,IOT,developer,higherstudies,Service Based,no,no,Health,salary,gentle,work,hard worker,no,Banker
83,5,7,0,6,3,no,no,yes,information security,web technologies,yes,yes,poor,excellent,programming,security,job,Cloud Services,no,no,Anthology,salary,stubborn,salary,smart worker,no,Game Developer
83,5,4,5,6,1,yes,no,yes,information security,system designing,no,yes,poor,medium,hacking,testing,higherstudies,product development,yes,yes,Science fiction,Work,gentle,salary,hard worker,no,Scientist
89,5,5,4,7,8,no,yes,no,python,testing,yes,no,medium,excellent,IOT,Business process analyst,higherstudies,Cloud Services,yes,yes,Travel,salary,stubborn,work,smart worker,yes,Scientist
90,9,1,4,6,9,no,no,no,machine learning,system designing,no,no,excellent,poor,cloud computing,testing,higherstudies,Service Based,yes,no,Guide,Work,stubborn,salary,smart worker,no,Banker
91,7,9,6,4,2,yes,yes,no,machine learning,cloud computing,no,no,excellent,poor,Computer Architecture,security,job,Service Based,no,no,Autobiographies,salary,stubborn,work,hard worker,yes,Game Developer
66,6,5,6,3,1,yes,no,no,r programming,web technologies,yes,yes,medium,medium,parallel computing,system developer,job,Web Services,yes,no,Biographies,Work,stubborn,work,hard worker,no,Software Engineer
61,10,2,3,4,8,no,no,no,r programming,system designing,no,no,medium,poor,data engineering,testing,job,Web Services,yes,no,Encyclopedias,salary,gentle,salary,hard worker,no,Accountant
92,8,6,3,4,5,no,yes,no,distro making,game development,yes,yes,poor,excellent,IOT,testing,job,Service Based,yes,no,Satire,Work,gentle,work,hard worker,no,Scientist
64,10,5,2,7,3,yes,no,no,app development,testing,yes,yes,excellent,poor,Management,developer,higherstudies,Cloud Services,no,yes,Health,Work,gentle,salary,hard worker,no,Accountant
72,8,5,6,1,9,yes,yes,yes,app development,testing,yes,yes,medium,medium,IOT,developer,higherstudies,Sales and Marketing,yes,no,Science,Work,stubborn,salary,hard worker,yes,Business Owner
74,5,6,0,3,4,yes,no,no,full stack,cloud computing,no,yes,excellent,excellent,parallel computing,security,higherstudies,Testing and Maintainance Services,yes,no,Self help,Work,stubborn,work,smart worker,no,Business Owner
88,6,7,0,3,1,yes,no,yes,app development,system designing,yes,yes,excellent,excellent,Management,system developer,higherstudies,BPA,yes,yes,Satire,salary,gentle,work,hard worker,no,Scientist
76,12,9,0,6,3,yes,yes,yes,machine learning,system designing,no,yes,medium,medium,data engineering,security,job,Testing and Maintainance Services,no,yes,Prayer books,salary,stubborn,salary,hard worker,yes,Business Owner
73,11,7,0,8,4,yes,yes,yes,distro making,testing,yes,no,excellent,excellent,Computer Architecture,cloud computing,job,Sales and Marketing,no,yes,Encyclopedias,salary,gentle,work,smart worker,no,Stock Investor
63,11,6,0,1,1,yes,no,no,shell programming,hacking,no,no,medium,excellent,Management,testing,higherstudies,Finance,no,no,Drama,Work,gentle,work,smart worker,yes,Accountant
60,7,8,3,9,1,no,no,no,machine learning,database security,yes,yes,poor,poor,Computer Architecture,testing,higherstudies,Web Services,yes,no,Health,Work,stubborn,salary,hard worker,no,Accountant
76,9,4,5,5,2,yes,yes,yes,hadoop,web technologies,yes,yes,poor,medium,IOT,security,higherstudies,BPA,no,yes,Action and Adventure,salary,gentle,work,smart worker,yes,Doctor
72,8,9,0,1,6,no,yes,no,full stack,hacking,no,no,poor,poor,Software Engineering,testing,higherstudies,Service Based,yes,yes,Fantasy,Work,gentle,salary,hard worker,no,Stock Investor
85,5,6,5,6,8,yes,yes,no,full stack,game development,no,yes,poor,excellent,Computer Architecture,system developer,job,SAaS services,yes,yes,Anthology,salary,stubborn,salary,smart worker,no,Game Developer
81,11,3,3,7,8,no,no,yes,distro making,data science,yes,yes,medium,excellent,parallel computing,Business process analyst,higherstudies,BPA,no,no,Biographies,Work,stubborn,salary,hard worker,yes,Doctor
82,5,2,3,4,4,yes,no,yes,machine learning,cloud computing,no,no,excellent,excellent,networks,system developer,job,BPA,no,yes,Horror,Work,gentle,salary,smart worker,yes,Stock Investor
74,5,7,6,7,8,no,yes,no,shell programming,cloud computing,yes,no,poor,excellent,hacking,developer,job,product development,no,yes,Poetry,salary,gentle,work,smart worker,yes,Business Owner
70,12,9,1,7,6,no,yes,yes,app development,hacking,yes,yes,excellent,excellent,data engineering,cloud computing,job,Service Based,no,no,Romance,salary,gentle,work,hard worker,yes,Lawyer
71,7,5,5,6,3,no,yes,yes,shell programming,cloud computing,no,no,excellent,poor,IOT,security,job,Sales and Marketing,yes,yes,Anthology,Work,stubborn,salary,hard worker,no,Doctor
77,4,1,2,8,2,yes,no,yes,app development,system designing,no,no,medium,poor,Management,cloud computing,job,BPA,no,yes,Self help,Work,stubborn,work,hard worker,no,Business Owner
60,10,1,3,7,2,no,yes,no,hadoop,data science,yes,no,medium,poor,parallel computing,cloud computing,higherstudies,SAaS services,no,yes,Horror,salary,gentle,work,smart worker,no,Accountant
91,5,2,0,2,3,yes,no,yes,distro making,game development,yes,yes,excellent,poor,Management,cloud computing,job,Finance,yes,yes,History,salary,gentle,work,hard worker,yes,Banker
66,7,2,6,2,5,no,no,yes,machine learning,game development,no,yes,excellent,excellent,cloud computing,Business process analyst,job,Product based,yes,yes,Fantasy,Work,stubborn,salary,smart worker,no,Accountant
71,6,7,6,4,3,no,no,yes,shell programming,testing,no,no,excellent,medium,Management,system developer,higherstudies,Cloud Services,yes,no,Autobiographies,salary,gentle,salary,hard worker,yes,Doctor
82,8,2,1,8,8,no,yes,yes,shell programming,game development,no,no,excellent,excellent,hacking,system developer,job,product development,no,no,Guide,salary,gentle,salary,hard worker,no,Stock Investor
81,6,2,3,2,8,no,no,no,distro making,testing,no,no,excellent,medium,networks,security,job,BPA,no,no,Prayer books,Work,stubborn,work,hard worker,yes,Business Owner
73,5,8,5,7,6,yes,no,yes,full stack,web technologies,yes,no,medium,excellent,Management,cloud computing,higherstudies,Testing and Maintainance Services,yes,yes,Science fiction,salary,stubborn,salary,smart worker,no,Business Owner
81,10,7,1,3,7,no,yes,yes,python,data science,no,no,medium,poor,Management,developer,job,Service Based,no,no,Horror,salary,stubborn,salary,hard worker,yes,Stock Investor
60,6,3,4,1,3,yes,no,yes,information security,hacking,yes,yes,excellent,excellent,parallel computing,developer,job,Testing and Maintainance Services,yes,no,Guide,salary,gentle,salary,smart worker,yes,Accountant
78,12,2,3,7,1,yes,yes,no,machine learning,hacking,yes,yes,poor,medium,hacking,cloud computing,job,Cloud Services,no,yes,Art,salary,stubborn,work,hard worker,yes,Doctor
91,12,8,4,1,8,no,yes,yes,r programming,cloud computing,no,yes,poor,poor,networks,testing,job,Finance,no,yes,Self help,Work,gentle,work,hard worker,yes,Scientist
92,7,9,5,8,8,yes,yes,yes,information security,database security,yes,no,poor,poor,programming,Business process analyst,job,SAaS services,no,yes,Drama,Work,stubborn,salary,hard worker,no,Banker
81,7,7,5,1,7,no,no,yes,machine learning,system designing,no,no,poor,poor,parallel computing,system developer,higherstudies,Web Services,no,yes,Series,salary,stubborn,work,hard worker,yes,Business Owner
78,6,2,2,5,6,no,yes,yes,python,data science,yes,yes,medium,medium,Computer Architecture,testing,job,BPA,yes,no,Childrens,salary,gentle,work,hard worker,yes,Doctor
83,4,8,5,8,6,yes,yes,yes,app development,web technologies,no,no,poor,poor,Computer Architecture,testing,job,Sales and Marketing,yes,yes,Mystery,salary,gentle,work,smart worker,no,Stock Investor
69,4,8,6,1,9,no,yes,yes,hadoop,data science,no,yes,poor,excellent,parallel computing,cloud computing,higherstudies,Cloud Services,yes,yes,Cookbooks,salary,gentle,salary,hard worker,no,Software Engineer
63,4,6,3,4,3,no,no,yes,python,cloud computing,yes,no,excellent,poor,programming,testing,job,SAaS services,yes,yes,Prayer books,salary,stubborn,work,hard worker,no,Lawyer
77,7,6,5,4,7,no,yes,yes,machine learning,data science,no,no,excellent,excellent,networks,system developer,job,Finance,no,no,Science fiction,salary,stubborn,work,smart worker,no,Business Owner
69,12,6,2,1,9,no,no,yes,shell programming,game development,yes,yes,poor,medium,Management,testing,job,Web Services,yes,yes,Encyclopedias,salary,stubborn,work,hard worker,no,Accountant
73,6,6,0,3,4,no,yes,yes,python,database security,yes,yes,excellent,medium,hacking,developer,job,product development,no,yes,Poetry,Work,gentle,salary,smart worker,yes,Business Owner
65,6,4,1,7,3,yes,yes,yes,python,data science,yes,yes,poor,excellent,Management,testing,higherstudies,Product based,no,yes,Dictionaries,Work,gentle,salary,smart worker,no,Software Engineer
77,12,8,5,7,6,no,no,no,shell programming,data science,no,no,medium,excellent,Software Engineering,security,higherstudies,Product based,no,no,Horror,salary,stubborn,salary,hard worker,no,Stock Investor
64,10,7,3,1,1,no,no,yes,machine learning,web technologies,no,yes,medium,medium,Software Engineering,cloud computing,higherstudies,Cloud Services,no,yes,Self help,salary,gentle,work,smart worker,yes,Lawyer
67,11,1,5,2,8,no,yes,yes,information security,cloud computing,yes,no,excellent,excellent,programming,cloud computing,higherstudies,Service Based,yes,yes,Dictionaries,Work,gentle,salary,hard worker,no,Software Engineer
83,4,6,0,6,3,yes,no,no,shell programming,database security,no,no,medium,excellent,Software Engineering,security,job,Finance,yes,no,Trilogy,Work,stubborn,salary,hard worker,no,Scientist
81,11,3,3,2,2,no,yes,yes,information security,game development,yes,yes,medium,excellent,Computer Architecture,security,job,Sales and Marketing,yes,yes,Encyclopedias,salary,gentle,salary,smart worker,yes,Stock Investor
88,11,7,6,3,5,no,yes,yes,r programming,data science,no,yes,medium,medium,IOT,security,job,Service Based,yes,yes,Self help,Work,gentle,salary,smart worker,yes,Scientist
72,12,7,0,4,3,yes,no,no,hadoop,system designing,no,no,medium,excellent,parallel computing,developer,higherstudies,Service Based,no,no,Diaries,salary,gentle,salary,hard worker,yes,Doctor
85,5,3,1,7,6,no,yes,no,python,cloud computing,yes,yes,poor,poor,Software Engineering,developer,job,Sales and Marketing,yes,yes,Horror,Work,stubborn,work,hard worker,yes,Banker
90,5,9,3,1,9,yes,yes,yes,python,hacking,no,no,poor,poor,cloud computing,developer,higherstudies,SAaS services,no,yes,Biographies,salary,gentle,salary,hard worker,no,Game Developer
69,7,7,0,3,9,yes,no,yes,shell programming,system designing,no,no,excellent,excellent,cloud computing,Business process analyst,job,SAaS services,yes,no,Art,Work,stubborn,work,hard worker,no,Software Engineer
66,6,2,2,6,6,no,no,yes,r programming,data science,no,no,poor,medium,hacking,testing,job,BPA,no,yes,Fantasy,salary,gentle,salary,hard worker,yes,Accountant
87,11,7,4,3,5,no,yes,yes,hadoop,web technologies,no,yes,medium,excellent,Computer Architecture,system developer,job,SAaS services,no,no,Poetry,Work,gentle,salary,hard worker,yes,Scientist
83,12,3,5,5,9,no,no,no,hadoop,database security,no,yes,medium,medium,Computer Architecture,cloud computing,job,Finance,no,no,Romance,Work,gentle,work,smart worker,no,Scientist
60,5,9,2,6,6,yes,yes,no,information security,web technologies,no,yes,excellent,medium,parallel computing,system developer,job,Web Services,no,yes,Trilogy,Work,gentle,work,hard worker,yes,Lawyer
71,7,1,6,6,8,no,yes,yes,hadoop,hacking,no,no,poor,excellent,networks,system developer,job,Service Based,yes,yes,Encyclopedias,salary,gentle,salary,smart worker,no,Accountant
89,7,4,0,3,1,no,no,no,shell programming,testing,yes,yes,excellent,medium,cloud computing,system developer,higherstudies,Cloud Services,no,no,Guide,salary,gentle,work,hard worker,no,Banker
91,7,7,2,8,6,yes,yes,yes,r programming,web technologies,yes,yes,poor,excellent,networks,cloud computing,higherstudies,SAaS services,no,yes,Self help,salary,gentle,salary,hard worker,no,Scientist
61,9,6,0,2,1,no,no,no,distro making,game development,yes,no,excellent,poor,Management,Business process analyst,job,Sales and Marketing,yes,no,Mystery,Work,stubborn,work,smart worker,no,Accountant
83,7,5,2,5,4,yes,no,no,information security,database security,no,no,medium,excellent,hacking,system developer,job,Product based,yes,no,Horror,Work,gentle,work,smart worker,yes,Stock Investor
93,7,7,0,8,8,yes,no,yes,machine learning,database security,yes,yes,poor,medium,Software Engineering,system developer,job,Finance,yes,no,Self help,salary,gentle,salary,smart worker,no,Scientist
66,9,3,6,1,2,no,no,yes,information security,data science,no,no,medium,excellent,cloud computing,Business process analyst,job,Product based,no,no,Guide,Work,stubborn,salary,smart worker,yes,Accountant
65,8,7,6,3,6,no,yes,yes,full stack,hacking,no,yes,excellent,medium,programming,developer,job,Web Services,no,no,Biographies,Work,stubborn,work,smart worker,no,Software Engineer
83,6,2,3,9,1,yes,no,yes,information security,testing,yes,yes,excellent,poor,data engineering,Business process analyst,job,product development,yes,yes,Travel,salary,stubborn,work,smart worker,no,Scientist
91,7,8,5,1,4,no,yes,yes,app development,cloud computing,yes,no,excellent,excellent,Management,security,higherstudies,Finance,no,no,Travel,Work,gentle,salary,smart worker,no,Scientist
84,12,3,1,8,1,no,no,no,machine learning,system designing,no,yes,medium,excellent,hacking,cloud computing,job,Web Services,yes,no,Drama,Work,gentle,work,hard worker,no,Banker
90,4,1,4,7,6,yes,yes,no,shell programming,data science,yes,no,medium,medium,data engineering,testing,higherstudies,Product based,yes,no,Guide,salary,stubborn,salary,hard worker,no,Banker
79,12,1,1,1,4,no,yes,yes,shell programming,web technologies,yes,no,excellent,excellent,programming,security,job,Cloud Services,no,no,Biographies,Work,stubborn,salary,smart worker,yes,Doctor
82,10,2,0,1,4,yes,no,no,hadoop,testing,no,yes,poor,poor,networks,security,job,product development,yes,yes,Fantasy,Work,gentle,work,smart worker,no,Stock Investor
77,10,2,4,7,7,yes,yes,no,hadoop,database security,no,yes,poor,excellent,hacking,system developer,job,BPA,yes,yes,Romance,salary,gentle,work,smart worker,yes,Business Owner
94,12,7,1,9,3,no,yes,no,information security,system designing,no,no,medium,excellent,IOT,testing,higherstudies,Sales and Marketing,no,yes,Cookbooks,Work,stubborn,work,hard worker,yes,Game Developer
86,9,5,1,9,4,no,yes,no,app development,hacking,yes,no,medium,medium,Computer Architecture,developer,higherstudies,SAaS services,no,yes,Self help,salary,stubborn,salary,hard worker,yes,Scientist
63,6,3,0,1,8,no,yes,no,shell programming,database security,yes,no,excellent,excellent,parallel computing,developer,job,Web Services,no,no,Mystery,salary,stubborn,salary,smart worker,no,Accountant
74,12,1,5,9,4,yes,no,no,app development,game development,no,no,poor,medium,programming,cloud computing,job,Sales and Marketing,no,yes,Horror,salary,stubborn,salary,hard worker,yes,Stock Investor
