SL NO,GENDER,HIN,ENG,MATH,GEO,HIST,SCIENCE,BIO,HOBBY,INTEREST,SPORTS,ACHIEVEMENTS,LANGUAGE,AVG,STREAM
7708,Male,99,88,56,100,89,46,57,Gardening,Photography,Cricket,Athletics competition winner,English,76.42857142857143,Arts
8613,Male,77,86,57,93,66,55,56,Drawing,Science,Table Tennis,Science fair winner,Hindi,70.0,Arts
9483,Female,78,98,45,88,92,58,43,Sports,Science,Volleyball,Dance competition winner,Hindi,71.71428571428571,Arts
10800,Male,74,92,58,92,88,56,56,Photography,Programming,Volleyball,Art competition winner,Hindi,73.71428571428571,Arts
11679,Male,96,96,48,98,88,47,49,Drawing,Music,Basketball,Art competition winner,Hindi,74.57142857142857,Arts
11764,Female,85,100,50,88,61,55,59,Cooking,Art,Basketball,Athletics competition winner,English,71.14285714285714,Arts
12496,Male,82,96,50,91,91,46,58,Sports,Music,Table Tennis,Art competition winner,English,73.42857142857143,Arts
13242,Male,94,87,42,90,99,41,56,Travelling,History,Tennis,Chess competition winner,Hindi,72.71428571428571,Arts
13394,Male,85,96,52,87,83,57,51,Music,Photography,Swimming,Debate competition winner,Hindi,73.0,Arts
13681,Female,98,89,46,73,92,55,48,Travelling,Science,Tennis,Art competition winner,Hindi,71.57142857142857,Arts
13728,Female,95,81,53,65,90,49,59,Photography,Photography,Basketball,Debate competition winner,English,70.28571428571429,Arts
14457,Female,100,92,47,96,62,47,55,Sports,Music,Basketball,Athletics competition winner,Hindi,71.28571428571429,Arts
14826,Male,95,68,57,92,96,46,52,Photography,Programming,Volleyball,Art competition winner,English,72.28571428571429,Arts
15188,Male,87,89,49,86,84,57,43,Photography,Programming,Volleyball,Math Olympiad winner,Hindi,70.71428571428571,Arts
15752,Male,90,87,58,96,84,53,41,Music,Photography,Cricket,Science fair winner,Hindi,72.71428571428571,Arts
18022,Female,81,95,45,91,75,46,58,Photography,Science,Volleyball,Science fair winner,English,70.14285714285714,Arts
18082,Female,99,98,54,67,72,57,45,Reading,Art,Athletics,Math Olympiad winner,Hindi,70.28571428571429,Arts
19209,Male,94,86,54,97,80,50,52,Reading,Cooking,Tennis,Math Olympiad winner,Hindi,73.28571428571429,Arts
19293,Male,85,50,58,96,94,49,59,Music,Cooking,Volleyball,Art competition winner,Hindi,70.14285714285714,Arts
19500,Male,89,75,55,98,79,55,42,Music,Music,Tennis,Athletics competition winner,English,70.42857142857143,Arts
19803,Female,92,82,48,100,78,51,40,Cooking,History,Football,Athletics competition winner,English,70.14285714285714,Arts
20728,Male,84,88,51,95,93,42,42,Music,Programming,Basketball,Athletics competition winner,English,70.71428571428571,Arts
21054,Female,92,100,56,99,47,53,48,Travelling,History,Swimming,Dance competition winner,Hindi,70.71428571428571,Arts
21104,Male,80,85,56,76,95,59,41,Cooking,Music,Volleyball,Chess competition winner,English,70.28571428571429,Arts
21639,Male,97,61,50,98,93,52,42,Gardening,Programming,Athletics,Debate competition winner,English,70.42857142857143,Arts
21718,Male,95,86,48,86,85,42,50,Travelling,Science,Athletics,Athletics competition winner,English,70.28571428571429,Arts
22162,Male,97,96,56,97,71,49,42,Travelling,History,Volleyball,Athletics competition winner,Hindi,72.57142857142857,Arts
22253,Male,90,74,55,95,92,46,46,Sports,Dance,Swimming,Art competition winner,Hindi,71.14285714285714,Arts
23088,Female,93,94,56,99,71,48,44,Gardening,History,Athletics,Dance competition winner,English,72.14285714285714,Arts
23223,Male,78,85,53,97,95,54,53,Reading,History,Swimming,Dance competition winner,Hindi,73.57142857142857,Arts
23428,Female,68,98,59,96,88,43,47,Music,Programming,Basketball,Debate competition winner,Hindi,71.28571428571429,Arts
23554,Male,80,92,50,77,96,47,53,Cooking,Music,Swimming,Chess competition winner,Hindi,70.71428571428571,Arts
23854,Female,77,89,44,99,100,59,52,Cooking,Art,Table Tennis,Math Olympiad winner,English,74.28571428571429,Arts
23879,Male,68,96,57,93,75,54,48,Cooking,History,Basketball,Dance competition winner,Hindi,70.14285714285714,Arts
24372,Female,88,96,49,84,82,52,50,Music,Music,Tennis,Chess competition winner,English,71.57142857142857,Arts
24775,Male,87,77,56,97,76,54,56,Sports,Music,Football,Science fair winner,English,71.85714285714286,Arts
25660,Male,77,99,55,96,82,44,43,Cooking,Cooking,Swimming,Music competition winner,Hindi,70.85714285714286,Arts
26025,Female,96,82,45,70,99,47,51,Gardening,Art,Basketball,Athletics competition winner,English,70.0,Arts
26793,Male,94,82,47,77,98,49,49,Cooking,Science,Cricket,Chess competition winner,Hindi,70.85714285714286,Arts
27332,Female,92,93,54,98,78,57,45,Sports,Cooking,Football,Math Olympiad winner,English,73.85714285714286,Arts
27459,Female,92,68,57,92,72,59,57,Sports,History,Football,Math Olympiad winner,Hindi,71.0,Arts
27491,Male,92,69,47,95,95,53,46,Reading,Programming,Table Tennis,Art competition winner,English,71.0,Arts
27653,Male,79,92,54,97,84,52,40,Reading,History,Swimming,Athletics competition winner,English,71.14285714285714,Arts
29482,Female,93,79,55,63,94,56,54,Music,Dance,Table Tennis,Science fair winner,English,70.57142857142857,Arts
29833,Male,66,98,58,94,81,44,53,Drawing,Science,Athletics,Athletics competition winner,Hindi,70.57142857142857,Arts
30468,Male,93,92,40,97,93,57,43,Sports,Photography,Basketball,Music competition winner,Hindi,73.57142857142857,Arts
30755,Female,76,89,50,95,73,54,56,Gardening,Dance,Swimming,Music competition winner,Hindi,70.42857142857143,Arts
30999,Female,99,49,59,99,89,43,53,Gardening,Art,Cricket,Dance competition winner,Hindi,70.14285714285714,Arts
31101,Male,93,98,52,61,93,53,41,Reading,History,Swimming,Athletics competition winner,Hindi,70.14285714285714,Arts
31255,Male,96,81,56,96,93,49,46,Photography,Art,Cricket,Music competition winner,English,73.85714285714286,Arts
33123,Male,71,77,43,100,99,53,47,Music,Music,Football,Debate competition winner,English,70.0,Arts
33209,Female,85,97,45,92,90,51,42,Cooking,Dance,Tennis,Music competition winner,Hindi,71.71428571428571,Arts
33676,Female,86,97,55,99,79,41,59,Reading,Art,Basketball,Chess competition winner,English,73.71428571428571,Arts
34343,Female,95,99,48,72,99,49,46,Music,Cooking,Tennis,Math Olympiad winner,Hindi,72.57142857142857,Arts
35553,Female,93,69,55,85,87,49,57,Drawing,Programming,Volleyball,Dance competition winner,Hindi,70.71428571428571,Arts
35648,Male,79,98,43,95,76,57,49,Sports,History,Cricket,Dance competition winner,English,71.0,Arts
36119,Female,93,86,54,100,71,51,55,Photography,Programming,Basketball,Debate competition winner,Hindi,72.85714285714286,Arts
36702,Female,98,86,58,100,49,57,58,Travelling,Science,Athletics,Athletics competition winner,Hindi,72.28571428571429,Arts
38736,Male,92,90,59,82,78,52,43,Travelling,Music,Basketball,Debate competition winner,Hindi,70.85714285714286,Arts
38799,Female,95,92,50,83,69,55,50,Drawing,Photography,Basketball,Dance competition winner,Hindi,70.57142857142857,Arts
39279,Male,98,93,55,81,96,50,42,Travelling,Art,Volleyball,Science fair winner,Hindi,73.57142857142857,Arts
40119,Male,99,53,46,95,92,56,56,Reading,Music,Athletics,Athletics competition winner,English,71.0,Arts
40625,Female,95,96,57,96,63,43,53,Drawing,Cooking,Table Tennis,Athletics competition winner,English,71.85714285714286,Arts
40817,Female,88,79,57,96,87,40,56,Photography,Art,Football,Art competition winner,Hindi,71.85714285714286,Arts
42017,Female,99,97,55,82,84,51,47,Cooking,Cooking,Football,Chess competition winner,Hindi,73.57142857142857,Arts
42363,Male,100,96,53,99,58,55,48,Drawing,Music,Football,Art competition winner,English,72.71428571428571,Arts
42586,Male,93,82,47,79,88,57,45,Reading,Art,Swimming,Science fair winner,English,70.14285714285714,Arts
44221,Male,92,86,41,98,78,54,47,Reading,Programming,Football,Chess competition winner,Hindi,70.85714285714286,Arts
44292,Male,89,97,57,87,68,53,41,Gardening,History,Tennis,Music competition winner,English,70.28571428571429,Arts
45853,Male,96,79,55,62,90,56,55,Gardening,Art,Cricket,Dance competition winner,English,70.42857142857143,Arts
46198,Female,99,92,51,98,63,57,48,Sports,Music,Swimming,Art competition winner,Hindi,72.57142857142857,Arts
46236,Female,70,89,55,92,86,49,59,Drawing,History,Athletics,Math Olympiad winner,Hindi,71.42857142857143,Arts
47065,Female,87,100,49,74,99,56,43,Photography,Science,Cricket,Science fair winner,Hindi,72.57142857142857,Arts
47129,Female,74,93,56,92,74,56,57,Drawing,Photography,Cricket,Athletics competition winner,Hindi,71.71428571428571,Arts
47697,Female,99,68,55,86,97,42,43,Photography,Programming,Cricket,Music competition winner,Hindi,70.0,Arts
47961,Female,88,93,43,93,91,40,54,Drawing,History,Swimming,Art competition winner,Hindi,71.71428571428571,Arts
47974,Female,95,88,57,55,97,47,55,Drawing,Programming,Basketball,Music competition winner,Hindi,70.57142857142857,Arts
47984,Female,92,97,46,90,66,58,55,Gardening,Programming,Athletics,Athletics competition winner,Hindi,72.0,Arts
48116,Male,83,93,57,86,72,55,55,Travelling,Science,Table Tennis,Art competition winner,English,71.57142857142857,Arts
48624,Female,87,96,59,85,78,59,56,Reading,History,Football,Science fair winner,English,74.28571428571429,Arts
48779,Female,99,71,45,75,100,49,56,Gardening,Music,Athletics,Art competition winner,English,70.71428571428571,Arts
48853,Male,89,63,58,86,92,48,55,Drawing,Music,Cricket,Chess competition winner,English,70.14285714285714,Arts
49988,Female,98,93,49,80,97,54,46,Sports,History,Cricket,Chess competition winner,English,73.85714285714286,Arts
50117,Male,94,91,54,92,54,53,54,Photography,Photography,Football,Chess competition winner,English,70.28571428571429,Arts
50344,Male,87,97,50,73,92,43,51,Photography,Music,Swimming,Dance competition winner,Hindi,70.42857142857143,Arts
50935,Female,90,99,59,100,60,44,43,Travelling,Science,Athletics,Math Olympiad winner,Hindi,70.71428571428571,Arts
51357,Female,96,85,54,73,79,49,56,Travelling,Music,Table Tennis,Chess competition winner,Hindi,70.28571428571429,Arts
51867,Male,86,81,59,93,85,59,59,Photography,Music,Cricket,Chess competition winner,English,74.57142857142857,Arts
51992,Male,85,66,47,100,94,50,48,Sports,Cooking,Cricket,Science fair winner,English,70.0,Arts
52049,Female,99,98,53,59,96,48,47,Drawing,History,Football,Music competition winner,Hindi,71.42857142857143,Arts
54732,Male,95,95,57,67,77,55,47,Drawing,Cooking,Swimming,Math Olympiad winner,English,70.42857142857143,Arts
55798,Female,74,79,51,100,75,52,59,Reading,Cooking,Volleyball,Math Olympiad winner,English,70.0,Arts
56270,Female,49,94,48,97,94,58,54,Gardening,Science,Tennis,Art competition winner,English,70.57142857142857,Arts
56605,Female,86,85,53,82,89,45,50,Cooking,Programming,Table Tennis,Music competition winner,Hindi,70.0,Arts
57020,Male,97,91,57,83,76,46,46,Gardening,Programming,Volleyball,Math Olympiad winner,Hindi,70.85714285714286,Arts
57184,Male,79,96,54,79,89,40,55,Photography,Dance,Athletics,Dance competition winner,English,70.28571428571429,Arts
57385,Female,78,99,56,92,84,47,45,Drawing,Science,Athletics,Dance competition winner,Hindi,71.57142857142857,Arts
58562,Male,78,95,45,88,85,57,51,Travelling,Cooking,Athletics,Music competition winner,English,71.28571428571429,Arts
59523,Female,84,83,46,78,99,57,55,Sports,Dance,Athletics,Music competition winner,Hindi,71.71428571428571,Arts
60316,Female,83,93,57,72,85,54,52,Travelling,Programming,Basketball,Dance competition winner,Hindi,70.85714285714286,Arts
61933,Female,96,84,43,88,93,54,45,Cooking,Music,Basketball,Music competition winner,English,71.85714285714286,Arts
63006,Female,88,71,54,99,73,57,57,Gardening,History,Tennis,Art competition winner,Hindi,71.28571428571429,Arts
63433,Female,94,59,55,98,99,57,44,Cooking,Photography,Football,Athletics competition winner,Hindi,72.28571428571429,Arts
63455,Male,85,67,53,84,92,56,56,Music,Cooking,Swimming,Dance competition winner,English,70.42857142857143,Arts
64177,Male,98,78,50,98,90,51,58,Music,Cooking,Basketball,Music competition winner,English,74.71428571428571,Arts
66483,Female,93,80,58,95,73,42,54,Cooking,History,Athletics,Debate competition winner,English,70.71428571428571,Arts
66519,Male,82,94,41,85,97,58,57,Reading,History,Athletics,Math Olympiad winner,English,73.42857142857143,Arts
66711,Female,62,100,44,94,94,43,58,Music,Programming,Athletics,Math Olympiad winner,English,70.71428571428571,Arts
67543,Male,95,94,52,92,62,55,43,Music,Cooking,Volleyball,Dance competition winner,English,70.42857142857143,Arts
67668,Male,84,87,53,100,81,44,51,Travelling,Photography,Tennis,Math Olympiad winner,English,71.42857142857143,Arts
69175,Male,99,78,44,66,99,55,55,Reading,Music,Basketball,Dance competition winner,English,70.85714285714286,Arts
69293,Male,97,68,57,95,79,59,57,Drawing,Dance,Swimming,Dance competition winner,Hindi,73.14285714285714,Arts
69334,Male,99,86,58,68,91,54,55,Music,Science,Cricket,Science fair winner,Hindi,73.0,Arts
70856,Male,91,85,50,89,100,40,40,Music,Cooking,Basketball,Athletics competition winner,English,70.71428571428571,Arts
72091,Male,84,98,45,87,95,58,43,Gardening,Cooking,Tennis,Music competition winner,Hindi,72.85714285714286,Arts
72318,Female,100,87,55,95,78,45,45,Photography,History,Table Tennis,Dance competition winner,Hindi,72.14285714285714,Arts
72366,Male,93,90,43,100,88,42,51,Photography,Cooking,Volleyball,Chess competition winner,Hindi,72.42857142857143,Arts
72400,Female,95,93,48,77,86,52,58,Gardening,Music,Tennis,Chess competition winner,Hindi,72.71428571428571,Arts
72453,Female,99,83,59,95,71,43,46,Drawing,Dance,Table Tennis,Debate competition winner,English,70.85714285714286,Arts
72561,Male,86,95,50,98,73,45,59,Sports,Programming,Swimming,Debate competition winner,English,72.28571428571429,Arts
74739,Female,60,80,59,94,92,55,58,Gardening,Art,Basketball,Debate competition winner,English,71.14285714285714,Arts
75494,Male,81,97,58,59,92,57,59,Gardening,History,Athletics,Debate competition winner,Hindi,71.85714285714286,Arts
76457,Female,100,100,40,77,94,50,40,Sports,Art,Tennis,Science fair winner,Hindi,71.57142857142857,Arts
77925,Male,91,100,47,95,88,40,56,Cooking,Cooking,Swimming,Music competition winner,Hindi,73.85714285714286,Arts
80525,Male,99,72,42,99,97,58,41,Travelling,Photography,Basketball,Debate competition winner,English,72.57142857142857,Arts
81665,Female,71,99,55,91,78,49,51,Travelling,Photography,Tennis,Art competition winner,Hindi,70.57142857142857,Arts
81791,Male,85,89,55,72,99,51,42,Cooking,Art,Swimming,Math Olympiad winner,Hindi,70.42857142857143,Arts
82133,Male,93,75,57,99,87,52,42,Sports,Science,Swimming,Debate competition winner,Hindi,72.14285714285714,Arts
82845,Male,99,98,50,96,82,57,59,Photography,Photography,Table Tennis,Science fair winner,English,77.28571428571429,Arts
83202,Male,91,100,46,100,92,52,44,Music,Science,Volleyball,Music competition winner,Hindi,75.0,Arts
83393,Female,77,88,59,94,72,57,51,Photography,History,Athletics,Science fair winner,Hindi,71.14285714285714,Arts
83499,Male,95,67,57,98,98,59,57,Music,Cooking,Athletics,Music competition winner,Hindi,75.85714285714286,Arts
83836,Male,86,100,50,76,82,44,57,Drawing,Photography,Swimming,Math Olympiad winner,Hindi,70.71428571428571,Arts
86076,Female,100,84,54,90,85,51,49,Sports,Art,Table Tennis,Science fair winner,English,73.28571428571429,Arts
87965,Male,88,91,55,90,96,56,43,Drawing,Music,Volleyball,Chess competition winner,Hindi,74.14285714285714,Arts
88543,Male,97,85,46,72,84,53,53,Drawing,History,Tennis,Math Olympiad winner,Hindi,70.0,Arts
91345,Female,64,93,46,100,85,54,55,Gardening,Programming,Cricket,Debate competition winner,English,71.0,Arts
91460,Female,100,95,51,97,64,42,47,Gardening,Cooking,Football,Chess competition winner,English,70.85714285714286,Arts
93103,Female,94,89,57,81,100,51,56,Reading,Programming,Tennis,Dance competition winner,English,75.42857142857143,Arts
93786,Female,95,81,59,99,72,44,55,Sports,Cooking,Football,Music competition winner,Hindi,72.14285714285714,Arts
93918,Male,95,59,59,98,74,47,58,Gardening,Programming,Football,Art competition winner,Hindi,70.0,Arts
96218,Female,67,98,42,96,94,53,59,Drawing,History,Swimming,Chess competition winner,English,72.71428571428571,Arts
96685,Male,81,97,58,87,95,55,41,Cooking,Programming,Cricket,Dance competition winner,Hindi,73.42857142857143,Arts
96898,Male,64,81,48,98,97,52,52,Cooking,Science,Swimming,Debate competition winner,Hindi,70.28571428571429,Arts
98048,Female,91,80,58,84,95,40,52,Travelling,Music,Volleyball,Art competition winner,English,71.42857142857143,Arts
99078,Female,90,82,54,94,73,56,50,Drawing,Art,Table Tennis,Dance competition winner,Hindi,71.28571428571429,Arts
99304,Male,88,68,47,100,84,56,59,Photography,Dance,Basketball,Music competition winner,Hindi,71.71428571428571,Arts
99573,Male,76,91,52,90,79,57,57,Photography,Cooking,Tennis,Debate competition winner,Hindi,71.71428571428571,Arts
99576,Male,97,99,55,86,88,49,46,Photography,Programming,Tennis,Science fair winner,Hindi,74.28571428571429,Arts
42329,Female,51,72,89,87,57,53,58,Travelling,Programming,Tennis,Science fair winner,English,66.71428571428571,Commerce
8411,Female,95,69,49,43,54,69,47,Drawing,Music,Cricket,Math Olympiad winner,English,60.857142857142854,Commerce
73057,Female,98,52,40,63,100,43,63,Drawing,Art,Swimming,Dance competition winner,English,65.57142857142857,Commerce
73531,Female,90,40,73,88,69,66,48,Drawing,History,Tennis,Math Olympiad winner,English,67.71428571428571,Commerce
39136,Male,75,86,52,51,42,67,52,Travelling,Cooking,Volleyball,Athletics competition winner,English,60.714285714285715,Commerce
31097,Female,55,90,53,75,80,45,62,Music,Programming,Football,Athletics competition winner,Hindi,65.71428571428571,Commerce
24267,Male,100,76,60,64,100,69,74,Drawing,Photography,Athletics,Dance competition winner,Hindi,77.57142857142857,Commerce
21934,Male,95,64,79,87,77,52,54,Music,Programming,Athletics,Science fair winner,Hindi,72.57142857142857,Commerce
27851,Female,64,70,69,60,64,42,63,Music,Music,Swimming,Dance competition winner,Hindi,61.714285714285715,Commerce
88425,Female,88,44,54,65,64,70,52,Travelling,Dance,Volleyball,Math Olympiad winner,English,62.42857142857143,Commerce
28785,Male,65,85,73,82,44,47,56,Travelling,Photography,Swimming,Music competition winner,Hindi,64.57142857142857,Commerce
82629,Male,42,92,44,100,42,47,63,Photography,Music,Athletics,Music competition winner,Hindi,61.42857142857143,Commerce
25074,Male,50,75,72,44,94,42,43,Music,Music,Swimming,Math Olympiad winner,Hindi,60.0,Commerce
31179,Male,84,91,94,59,53,45,41,Travelling,Photography,Athletics,Art competition winner,Hindi,66.71428571428571,Commerce
58876,Male,96,67,50,98,54,72,71,Gardening,Dance,Athletics,Athletics competition winner,English,72.57142857142857,Commerce
65772,Female,73,81,91,81,44,54,51,Gardening,Science,Swimming,Science fair winner,Hindi,67.85714285714286,Commerce
13936,Male,60,81,60,59,54,46,54,Drawing,Science,Tennis,Athletics competition winner,Hindi,59.142857142857146,Commerce
58282,Male,47,63,42,48,63,67,58,Drawing,Programming,Swimming,Music competition winner,English,55.42857142857143,Commerce
86223,Female,68,91,57,99,40,59,67,Music,Photography,Swimming,Dance competition winner,English,68.71428571428571,Commerce
82412,Female,84,48,73,67,55,45,68,Photography,Programming,Tennis,Debate competition winner,Hindi,62.857142857142854,Commerce
57652,Female,73,79,55,41,76,70,44,Photography,Dance,Volleyball,Dance competition winner,Hindi,62.57142857142857,Commerce
87677,Male,51,64,77,58,46,53,55,Travelling,Art,Volleyball,Math Olympiad winner,English,57.714285714285715,Commerce
38555,Female,45,77,86,99,59,59,48,Travelling,Science,Swimming,Debate competition winner,English,67.57142857142857,Commerce
10270,Male,87,75,93,95,75,56,52,Music,Dance,Football,Music competition winner,Hindi,76.14285714285714,Commerce
96807,Male,54,90,51,78,95,49,65,Music,Art,Swimming,Art competition winner,English,68.85714285714286,Commerce
27183,Female,49,58,41,73,58,67,46,Cooking,History,Athletics,Dance competition winner,Hindi,56.0,Commerce
14560,Female,45,57,94,57,40,41,56,Reading,Art,Cricket,Music competition winner,English,55.714285714285715,Commerce
2209,Female,43,86,93,68,81,54,51,Sports,History,Volleyball,Math Olympiad winner,Hindi,68.0,Commerce
15378,Male,87,65,64,58,59,40,45,Reading,Dance,Swimming,Chess competition winner,English,59.714285714285715,Commerce
43197,Female,59,85,83,65,43,45,47,Travelling,Science,Athletics,Athletics competition winner,English,61.0,Commerce
11960,Male,71,72,48,88,74,42,60,Drawing,Music,Tennis,Debate competition winner,English,65.0,Commerce
67837,Female,51,65,68,88,53,74,49,Gardening,Cooking,Tennis,Science fair winner,Hindi,64.0,Commerce
41132,Female,53,49,99,46,92,44,51,Music,History,Football,Athletics competition winner,Hindi,62.0,Commerce
49557,Male,91,70,88,74,93,59,46,Cooking,Science,Cricket,Dance competition winner,Hindi,74.42857142857143,Commerce
69139,Female,51,100,60,67,49,42,54,Sports,Art,Table Tennis,Debate competition winner,English,60.42857142857143,Commerce
68101,Male,66,64,52,84,86,74,43,Reading,History,Swimming,Chess competition winner,English,67.0,Commerce
80313,Female,95,45,68,80,78,41,47,Photography,Cooking,Table Tennis,Art competition winner,Hindi,64.85714285714286,Commerce
74009,Male,98,68,73,97,95,68,48,Cooking,Photography,Table Tennis,Math Olympiad winner,English,78.14285714285714,Commerce
45753,Male,59,68,63,90,63,43,57,Gardening,Art,Cricket,Athletics competition winner,English,63.285714285714285,Commerce
53278,Female,68,64,40,88,84,67,58,Cooking,Cooking,Athletics,Art competition winner,Hindi,67.0,Commerce
35369,Female,83,58,61,91,43,62,65,Reading,Programming,Table Tennis,Art competition winner,English,66.14285714285714,Commerce
19461,Male,78,48,45,48,86,41,62,Gardening,Cooking,Volleyball,Athletics competition winner,English,58.285714285714285,Commerce
6350,Male,40,41,98,47,80,43,44,Travelling,Cooking,Volleyball,Music competition winner,English,56.142857142857146,Commerce
26937,Female,45,70,93,69,70,50,59,Music,Dance,Football,Art competition winner,English,65.14285714285714,Commerce
36872,Female,55,100,96,80,94,49,46,Cooking,Dance,Tennis,Math Olympiad winner,English,74.28571428571429,Commerce
47983,Male,50,86,65,100,73,47,57,Reading,Programming,Cricket,Science fair winner,English,68.28571428571429,Commerce
8141,Male,60,61,76,67,69,50,54,Sports,Music,Football,Dance competition winner,English,62.42857142857143,Commerce
9522,Female,75,79,82,90,90,53,46,Photography,Cooking,Tennis,Athletics competition winner,English,73.57142857142857,Commerce
41007,Female,53,88,93,97,53,49,54,Music,Art,Basketball,Athletics competition winner,English,69.57142857142857,Commerce
80039,Male,76,93,90,66,67,53,51,Gardening,Art,Basketball,Athletics competition winner,English,70.85714285714286,Commerce
81208,Female,99,73,94,53,41,58,55,Travelling,Art,Basketball,Debate competition winner,English,67.57142857142857,Commerce
82359,Male,60,40,89,68,80,42,56,Photography,History,Table Tennis,Debate competition winner,Hindi,62.142857142857146,Commerce
79627,Female,43,59,75,97,100,51,52,Reading,Programming,Table Tennis,Art competition winner,English,68.14285714285714,Commerce
12460,Male,71,65,40,99,75,61,71,Reading,Photography,Table Tennis,Chess competition winner,English,68.85714285714286,Commerce
24563,Female,94,43,73,42,64,47,68,Travelling,Cooking,Football,Dance competition winner,English,61.57142857142857,Commerce
25260,Male,68,66,89,90,41,49,48,Reading,History,Football,Chess competition winner,Hindi,64.42857142857143,Commerce
41280,Female,83,92,80,72,74,44,44,Gardening,Music,Tennis,Art competition winner,English,69.85714285714286,Commerce
24456,Female,95,74,48,49,55,66,71,Photography,Programming,Cricket,Debate competition winner,Hindi,65.42857142857143,Commerce
79691,Female,60,86,70,92,98,41,49,Cooking,Programming,Athletics,Music competition winner,Hindi,70.85714285714286,Commerce
92452,Male,77,51,49,54,61,54,69,Reading,Dance,Athletics,Art competition winner,Hindi,59.285714285714285,Commerce
17608,Male,43,74,88,97,47,41,42,Gardening,History,Basketball,Math Olympiad winner,English,61.714285714285715,Commerce
58866,Female,84,85,72,43,75,54,57,Gardening,Science,Table Tennis,Science fair winner,English,67.14285714285714,Commerce
35036,Female,100,69,42,63,50,63,67,Music,Cooking,Football,Art competition winner,English,64.85714285714286,Commerce
5475,Female,66,77,80,40,66,56,54,Gardening,Dance,Football,Music competition winner,Hindi,62.714285714285715,Commerce
54455,Female,42,48,70,41,93,42,45,Cooking,Photography,Swimming,Math Olympiad winner,Hindi,54.42857142857143,Commerce
18425,Male,56,65,69,45,48,56,67,Drawing,Cooking,Table Tennis,Athletics competition winner,English,58.0,Commerce
51112,Female,53,89,62,92,43,68,42,Cooking,Art,Cricket,Debate competition winner,English,64.14285714285714,Commerce
71633,Female,83,45,77,95,44,47,57,Gardening,Science,Tennis,Chess competition winner,Hindi,64.0,Commerce
81832,Female,64,84,65,96,69,61,45,Photography,Cooking,Table Tennis,Science fair winner,Hindi,69.14285714285714,Commerce
24774,Female,44,83,68,54,86,49,42,Music,Music,Volleyball,Science fair winner,English,60.857142857142854,Commerce
97315,Female,60,69,72,85,79,45,71,Gardening,History,Football,Chess competition winner,English,68.71428571428571,Commerce
