Acedamic percentage,Hours Studying per day,Logical quotient rating,hackathons,coding skills rating,public speaking points,self-learning capability,Extra-courses did,certifications,talenttests taken,olympiads,reading and writing skills,memory capability score,Interested subjects,interested career area,Job/Higher Studies,Taken inputs from seniors or elders,interested in games,Interested Type of Books,Salary Range Expected,Gentle or Tuff behaviour,Salary/work,hard/smart worker,Introvert,Suggested Job Role
70,10,9,0,2,5,yes,no,Coursera: Introduction to Law,no,RemoteWork,excellent,poor,Legal Research and Writing,Corporate Law,job,no,yes,Childrens,salary,gentle,work,hard worker,no,Lawyer
76,11,8,4,2,9,no,no,National Board Certification (NBC),no,Fieldwork,poor,excellent,Educational Psychology,Educational Technology Specialist,job,yes,yes,Trilogy,Work,stubborn,salary,smart worker,no,Teacher
66,9,8,6,2,9,yes,no,Associate Chartered Banker (ACIB),yes,RemoteWork,excellent,excellent,Corporate Finance,Private Wealth Management,job,no,yes,Childrens,Work,stubborn,salary,smart worker,yes,Banker
83,11,3,6,9,5,no,yes,Coursera: Foundations of Business Strategy,no,Fieldwork,poor,poor,The Lean Startup,Entrepreneurship and Startup Management,job,no,yes,Encyclopedias,Work,gentle,salary,hard worker,yes,MBA
66,9,8,5,7,4,yes,no,Diploma in Pharmaceutical Sciences,no,OfficeBased,excellent,poor,Pharmacology,Pharmaceutical Research and Development,job,no,no,Encyclopedias,Work,stubborn,work,smart worker,yes,Pharmacy
70,8,8,0,4,7,no,no,Coursera: Introduction to Law,yes,OfficeBased,medium,medium,Constitutional Law,Corporate Law,job,yes,yes,Action and Adventure,Work,stubborn,work,smart worker,yes,Lawyer
78,10,6,2,1,8,yes,yes,AutoCAD Certification,yes,Fieldwork,poor,poor,Physics and Mechanics,Product Engineer,job,no,yes,Anthology,salary,gentle,salary,hard worker,no,Engineer
74,5,5,1,6,9,yes,yes,Certificate in Legal Studies,yes,Fieldwork,poor,excellent,Legal Research and Writing,Litigation,higherstudies,yes,yes,Action and Adventure,Work,gentle,work,hard worker,yes,Lawyer
85,5,9,1,1,9,yes,no,Certificate in Business Administration,yes,Fieldwork,medium,excellent,The Lean Startup,Management Consulting,job,no,yes,Dictionaries,Work,stubborn,salary,smart worker,no,MBA
61,5,3,2,6,7,yes,yes,Diploma in Pharmaceutical Sciences,yes,RemoteWork,medium,medium,Pharmaceutical Chemistry,Clinical Pharmacy,higherstudies,yes,yes,Fantasy,Work,gentle,salary,hard worker,no,Pharmacy
71,11,7,4,8,1,yes,yes,Coursera: Introduction to Law,no,OfficeBased,poor,medium,Legal Research and Writing,Corporate Law,job,no,yes,Childrens,salary,gentle,work,smart worker,no,Lawyer
67,8,9,0,5,8,yes,no,Diploma in Pharmaceutical Sciences,yes,OfficeBased,poor,excellent,Pharmaceutical Chemistry,Pharmaceutical Research and Development,higherstudies,yes,yes,Drama,Work,gentle,work,hard worker,no,Pharmacy
76,5,5,6,8,4,yes,no,Coursera: Introduction to Law,yes,Fieldwork,poor,medium,Constitutional Law,Litigation,higherstudies,no,no,Comics,Work,stubborn,salary,hard worker,no,Lawyer
69,4,7,4,2,9,yes,no,Certificate in Legal Studies,no,OfficeBased,poor,excellent,Legal Research and Writing,Corporate Law,higherstudies,yes,no,Art,salary,stubborn,work,hard worker,no,Lawyer
81,7,7,6,5,5,yes,yes,Certificate in Media Production,yes,RemoteWork,medium,medium,Entertainment Business and Management,Music Industry Management,job,yes,no,Horror,Work,stubborn,salary,smart worker,yes,Entertainment industry
79,9,7,1,3,5,yes,no,National Board Certification (NBC),yes,RemoteWork,poor,poor,Educational Psychology,Education Policy and Advocacy,job,no,no,Self help,Work,stubborn,work,hard worker,yes,Teacher
73,10,5,5,9,5,no,no,Certificate in Legal Studies,yes,Fieldwork,excellent,poor,Legal Research and Writing,Litigation,job,yes,no,Diaries,Work,stubborn,salary,hard worker,no,Lawyer
69,12,2,1,1,5,yes,no,First Aid and CPR Certification,no,Fieldwork,excellent,poor,Medical Ethics and Professionalism,Medical Research,higherstudies,yes,yes,Science fiction,Work,stubborn,work,smart worker,no,Doctor
75,11,4,3,2,4,no,yes,Certificate in Legal Studies,yes,RemoteWork,poor,medium,Legal Research and Writing,Litigation,job,no,no,Comics,Work,stubborn,salary,smart worker,yes,Lawyer
73,4,5,0,6,2,yes,no,Certified Nursing Assistant (CNA),yes,Fieldwork,poor,poor,Human Anatomy and Physiology,Public Health,higherstudies,no,yes,Series,Work,stubborn,work,smart worker,no,Doctor
62,6,8,1,4,6,yes,yes,Associate Chartered Banker (ACIB),yes,OfficeBased,medium,medium,Corporate Finance,Private Wealth Management,higherstudies,no,yes,Childrens,Work,stubborn,work,hard worker,yes,Banker
69,10,3,5,2,8,yes,yes,Certified Nursing Assistant (CNA),yes,Fieldwork,poor,poor,Human Anatomy and Physiology,Public Health,job,yes,no,Self help,salary,stubborn,salary,hard worker,yes,Doctor
69,10,6,3,7,8,yes,no,Certificate in Financial Markets,yes,RemoteWork,poor,poor,Financial Statement Analysis,Portfolio Management,higherstudies,no,no,Guide,Work,stubborn,salary,smart worker,no,Stock Investor
65,8,3,0,4,3,no,no,Associate Chartered Banker (ACIB),yes,OfficeBased,poor,poor,Financial Markets,Private Wealth Management,higherstudies,no,yes,Biographies,salary,gentle,salary,hard worker,no,Banker
76,5,9,6,1,7,no,no,Teaching Certificate/License,yes,Fieldwork,poor,medium,Educational Psychology,Education Policy and Advocacy,job,no,yes,Series,salary,gentle,work,smart worker,no,Teacher
74,9,5,0,7,9,yes,yes,Investopedia: Stock Market Investing Course,yes,RemoteWork,excellent,poor,The Intelligent Investor,Financial Analysis,job,yes,no,Health,Work,stubborn,salary,smart worker,yes,Stock Investor
86,6,3,4,3,8,no,yes,Sports First Aid Certification,no,RemoteWork,poor,poor,Sports Science and Exercise Physiology,Sports Medicine and Athletic Training,job,yes,yes,Diaries,Work,stubborn,salary,hard worker,yes,Sports person
64,4,7,0,4,4,no,no,Diploma in Pharmaceutical Sciences,yes,RemoteWork,poor,excellent,Pharmacology,Clinical Pharmacy,job,yes,yes,Journals,Work,stubborn,work,hard worker,yes,Pharmacy
93,7,2,2,8,7,no,yes,Certified Fitness Trainer (CFT),yes,Fieldwork,poor,excellent,Sports Management and Administration,Sports Marketing and Sponsorship,job,no,yes,Diaries,Work,stubborn,work,hard worker,no,Sports person
94,7,6,5,6,5,yes,no,Sports First Aid Certification,yes,Fieldwork,medium,medium,Sports Science and Exercise Physiology,Sports Marketing and Sponsorship,job,yes,no,Diaries,Work,stubborn,salary,hard worker,no,Sports person
88,10,1,3,6,5,no,no,Certified Fitness Trainer (CFT),no,Fieldwork,poor,poor,Sports Management and Administration,Sports Marketing and Sponsorship,higherstudies,yes,no,Art,Work,stubborn,salary,smart worker,yes,Sports person
76,10,2,5,1,8,no,no,Coursera: Introduction to Digital Marketing,no,Fieldwork,medium,medium,Entertainment Business and Management,Film and Television Production,job,yes,no,Prayer books,salary,stubborn,salary,hard worker,yes,Entertainment industry
80,9,8,2,1,8,no,no,Coursera: Foundations of Business Strategy,no,RemoteWork,excellent,poor,Master the Art of Business,Management Consulting,job,yes,no,Guide,Work,stubborn,work,smart worker,yes,MBA
75,8,3,5,4,3,yes,yes,Coursera: Introduction to Law,no,OfficeBased,medium,excellent,Constitutional Law,Corporate Law,higherstudies,no,no,Childrens,Work,gentle,work,hard worker,no,Lawyer
69,12,7,0,4,6,yes,yes,Coursera: Introduction to Law,yes,OfficeBased,medium,poor,Legal Research and Writing,Litigation,job,yes,yes,Art,salary,gentle,salary,smart worker,no,Lawyer
83,8,3,2,7,4,no,no,Certificate in Business Administration,yes,OfficeBased,excellent,medium,The Lean Startup,Management Consulting,job,yes,yes,History,Work,gentle,salary,smart worker,yes,MBA
88,4,6,0,9,7,no,yes,Diploma in Accounting,yes,OfficeBased,poor,poor,Financial Analytics and Data Visualization,Financial Planning and Analysis,higherstudies,no,no,Health,salary,gentle,work,hard worker,no,Accountant
83,5,7,0,6,3,no,yes,AutoCAD Certification,yes,RemoteWork,poor,excellent,Physics and Mechanics,Product Engineer,job,no,no,Anthology,salary,stubborn,salary,smart worker,no,Engineer
83,5,4,5,6,1,no,yes,Teaching Certificate/License,no,OfficeBased,poor,medium,Curriculum Development and Instructional Design,Educational Technology Specialist,higherstudies,yes,yes,Science fiction,Work,gentle,salary,hard worker,no,Teacher
89,5,5,4,7,8,yes,no,Coursera: Introduction to Research Methods,yes,RemoteWork,medium,excellent,The Structure of Scientific Revolutions,Research and Development,higherstudies,yes,yes,Travel,salary,stubborn,work,smart worker,yes,Scientist
90,9,1,4,6,9,no,no,Diploma in Accounting,no,OfficeBased,excellent,poor,Financial Analytics and Data Visualization,Financial Planning and Analysis,higherstudies,yes,no,Guide,Work,stubborn,salary,smart worker,no,Accountant
91,7,9,6,4,2,yes,no,Certified Fitness Trainer (CFT),no,RemoteWork,excellent,poor,Sports Management and Administration,Sports Medicine and Athletic Training,job,no,no,Autobiographies,salary,stubborn,work,hard worker,yes,Sports person
66,6,5,6,3,1,no,no,Certificate in Banking and Finance,yes,OfficeBased,medium,medium,Financial Markets,Investment Banking,job,yes,no,Biographies,Work,stubborn,work,hard worker,no,Banker
61,10,2,3,4,8,no,no,Pharmacy Technician Certification (CPhT),no,Fieldwork,medium,poor,Pharmaceutical Chemistry,Pharmaceutical Research and Development,job,yes,no,Encyclopedias,salary,gentle,salary,hard worker,no,Pharmacy
92,8,6,3,4,5,yes,no,Certificate in Laboratory Techniques,yes,RemoteWork,poor,excellent,Lab Girl,Research and Development,job,yes,no,Satire,Work,gentle,work,hard worker,no,Scientist
64,10,5,2,7,3,no,no,Pharmacy Technician Certification (CPhT),yes,RemoteWork,excellent,poor,Pharmaceutical Chemistry,Clinical Pharmacy,higherstudies,no,yes,Health,Work,gentle,salary,hard worker,no,Pharmacy
72,8,5,6,1,9,yes,yes,First Aid and CPR Certification,yes,RemoteWork,medium,medium,Medical Ethics and Professionalism,Medical Research,higherstudies,yes,no,Science,Work,stubborn,salary,hard worker,yes,Doctor
74,5,6,0,3,4,no,no,Certified Nursing Assistant (CNA),no,Fieldwork,excellent,excellent,Medical Ethics and Professionalism,Public Health,higherstudies,yes,no,Self help,Work,stubborn,work,smart worker,no,Doctor
88,6,7,0,3,1,no,yes,Certificate in Laboratory Techniques,yes,RemoteWork,excellent,excellent,The Structure of Scientific Revolutions,Research and Development,higherstudies,yes,yes,Satire,salary,gentle,work,hard worker,no,Scientist
76,12,9,0,6,3,yes,yes,Coursera: Introduction to Digital Marketing,no,OfficeBased,medium,medium,Entertainment Business and Management,Music Industry Management,job,no,yes,Prayer books,salary,stubborn,salary,hard worker,yes,Entertainment industry
73,11,7,0,8,4,yes,yes,Investopedia: Stock Market Investing Course,yes,Fieldwork,excellent,excellent,Financial Statement Analysis,Financial Analysis,job,no,yes,Encyclopedias,salary,gentle,work,smart worker,no,Stock Investor
63,11,6,0,1,1,no,no,Pharmacy Technician Certification (CPhT),no,RemoteWork,medium,excellent,Pharmaceutical Chemistry,Pharmaceutical Research and Development,higherstudies,no,no,Drama,Work,gentle,work,smart worker,yes,Pharmacy
60,7,8,3,9,1,no,no,Pharmacy Technician Certification (CPhT),yes,OfficeBased,poor,poor,Pharmacology,Pharmaceutical Research and Development,higherstudies,yes,no,Health,Work,stubborn,salary,hard worker,no,Pharmacy
76,9,4,5,5,2,yes,yes,AutoCAD Certification,yes,OfficeBased,poor,medium,Physics and Mechanics,Product Engineer,higherstudies,no,yes,Action and Adventure,salary,gentle,work,smart worker,yes,Engineer
72,8,9,0,1,6,yes,no,Investopedia: Stock Market Investing Course,no,RemoteWork,poor,poor,The Intelligent Investor,Financial Analysis,higherstudies,yes,yes,Fantasy,Work,gentle,salary,hard worker,no,Stock Investor
85,5,6,5,6,8,yes,no,AutoCAD Certification,no,RemoteWork,poor,excellent,Mathematics and Applied Mathematics,Product Engineer,job,yes,yes,Anthology,salary,stubborn,salary,smart worker,no,Engineer
81,11,3,3,7,8,no,yes,AutoCAD Certification,yes,Fieldwork,medium,excellent,Physics and Mechanics,Product Engineer,higherstudies,no,no,Biographies,Work,stubborn,salary,hard worker,yes,Engineer
82,5,2,3,4,4,no,yes,Certificate in Media Production,no,Fieldwork,excellent,excellent,Entertainment Business and Management,Music Industry Management,job,no,yes,Horror,Work,gentle,salary,smart worker,yes,Entertainment industry
74,5,7,6,7,8,yes,no,First Aid and CPR Certification,yes,Fieldwork,poor,excellent,Medical Ethics and Professionalism,Medical Research,job,no,yes,Poetry,salary,gentle,work,smart worker,yes,Doctor
70,12,9,1,7,6,yes,yes,First Aid and CPR Certification,yes,RemoteWork,excellent,excellent,Medical Ethics and Professionalism,Medical Research,job,no,no,Romance,salary,gentle,work,hard worker,yes,Doctor
71,7,5,5,6,3,yes,yes,Coursera: Introduction to Law,no,OfficeBased,excellent,poor,Constitutional Law,Litigation,job,yes,yes,Anthology,Work,stubborn,salary,hard worker,no,Lawyer
77,4,1,2,8,2,no,yes,National Board Certification (NBC),no,OfficeBased,medium,poor,Curriculum Development and Instructional Design,Educational Technology Specialist,job,no,yes,Self help,Work,stubborn,work,hard worker,no,Teacher
60,10,1,3,7,2,yes,no,Diploma in Pharmaceutical Sciences,yes,Fieldwork,medium,poor,Pharmacology,Clinical Pharmacy,higherstudies,no,yes,Horror,salary,gentle,work,smart worker,no,Pharmacy
91,5,2,0,2,3,no,yes,Certified Accounting Technician (CAT),yes,RemoteWork,excellent,poor,Financial Analytics and Data Visualization,International Taxation and Compliance,job,yes,yes,History,salary,gentle,work,hard worker,yes,Accountant
66,7,2,6,2,5,no,yes,Diploma in Pharmaceutical Sciences,no,Fieldwork,excellent,excellent,Pharmaceutical Chemistry,Clinical Pharmacy,job,yes,yes,Fantasy,Work,stubborn,salary,smart worker,no,Pharmacy
71,6,7,6,4,3,no,yes,Certificate in Legal Studies,no,RemoteWork,excellent,medium,Legal Research and Writing,Corporate Law,higherstudies,yes,no,Autobiographies,salary,gentle,salary,hard worker,yes,Lawyer
82,8,2,1,8,8,yes,yes,Coursera: Foundations of Business Strategy,no,RemoteWork,excellent,excellent,Master the Art of Business,Entrepreneurship and Startup Management,job,no,no,Guide,salary,gentle,salary,hard worker,no,MBA
81,6,2,3,2,8,no,no,Certificate in Media Production,no,Fieldwork,excellent,medium,Media Studies and Communication,Film and Television Production,job,no,no,Prayer books,Work,stubborn,work,hard worker,yes,Entertainment industry
73,5,8,5,7,6,no,yes,Certified Nursing Assistant (CNA),yes,RemoteWork,medium,excellent,Medical Ethics and Professionalism,Medical Research,higherstudies,yes,yes,Science fiction,salary,stubborn,salary,smart worker,no,Doctor
81,10,7,1,3,7,yes,yes,Coursera: Introduction to Digital Marketing,no,RemoteWork,medium,poor,Entertainment Business and Management,Music Industry Management,job,no,no,Horror,salary,stubborn,salary,hard worker,yes,Entertainment industry
60,6,3,4,1,3,no,yes,Diploma in Pharmaceutical Sciences,yes,Fieldwork,excellent,excellent,Pharmaceutical Chemistry,Clinical Pharmacy,job,yes,no,Guide,salary,gentle,salary,smart worker,yes,Pharmacy
78,12,2,3,7,1,yes,no,Certified SolidWorks Associate (CSWA),yes,RemoteWork,poor,medium,Physics and Mechanics,Artificial Intelligence and Machine Learning,job,no,yes,Art,salary,stubborn,work,hard worker,yes,Engineer
91,12,8,4,1,8,yes,yes,Coursera: Introduction to Research Methods,no,OfficeBased,poor,poor,The Structure of Scientific Revolutions,Research and Development,job,no,yes,Self help,Work,gentle,work,hard worker,yes,Scientist
92,7,9,5,8,8,yes,yes,Diploma in Accounting,yes,OfficeBased,poor,poor,Financial Analytics and Data Visualization,International Taxation and Compliance,job,no,yes,Drama,Work,stubborn,salary,hard worker,no,Accountant
81,7,7,5,1,7,no,yes,National Board Certification (NBC),no,RemoteWork,poor,poor,Curriculum Development and Instructional Design,Educational Technology Specialist,higherstudies,no,yes,Series,salary,stubborn,work,hard worker,yes,Teacher
78,6,2,2,5,6,yes,yes,Certified SolidWorks Associate (CSWA),yes,OfficeBased,medium,medium,Mathematics and Applied Mathematics,Artificial Intelligence and Machine Learning,job,yes,no,Childrens,salary,gentle,work,hard worker,yes,Engineer
83,4,8,5,8,6,yes,yes,Coursera: Introduction to Digital Marketing,no,RemoteWork,poor,poor,Media Studies and Communication,Music Industry Management,job,yes,yes,Mystery,salary,gentle,work,smart worker,no,Entertainment industry
69,4,8,6,1,9,yes,yes,Coursera: Introduction to Law,no,RemoteWork,poor,excellent,Legal Research and Writing,Corporate Law,higherstudies,yes,yes,Cookbooks,salary,gentle,salary,hard worker,no,Lawyer
63,4,6,3,4,3,no,yes,Unity Certified User,yes,RemoteWork,excellent,poor,Game Programming Patterns,Game Design,job,yes,yes,Prayer books,salary,stubborn,work,hard worker,no,Game Developer
77,7,6,5,4,7,yes,yes,Teaching Certificate/License,no,RemoteWork,excellent,excellent,Educational Psychology,Education Policy and Advocacy,job,no,no,Science fiction,salary,stubborn,work,smart worker,no,Teacher
69,12,6,2,1,9,no,yes,Certificate in Financial Markets,yes,OfficeBased,poor,medium,The Intelligent Investor,Financial Analysis,job,yes,yes,Encyclopedias,salary,stubborn,work,hard worker,no,Stock Investor
73,6,6,0,3,4,yes,yes,First Aid and CPR Certification,yes,OfficeBased,excellent,medium,Human Anatomy and Physiology,Public Health,job,no,yes,Poetry,Work,gentle,salary,smart worker,yes,Doctor
65,6,4,1,7,3,yes,yes,Associate Chartered Banker (ACIB),yes,RemoteWork,poor,excellent,Corporate Finance,Private Wealth Management,higherstudies,no,yes,Dictionaries,Work,gentle,salary,smart worker,no,Banker
77,12,8,5,7,6,no,no,Certificate in Financial Markets,no,OfficeBased,medium,excellent,The Intelligent Investor,Financial Analysis,higherstudies,no,no,Horror,salary,stubborn,salary,hard worker,no,Stock Investor
64,10,7,3,1,1,no,yes,Unity Certified User,no,OfficeBased,medium,medium,Unity in Action,Game Programming,higherstudies,no,yes,Self help,salary,gentle,work,smart worker,yes,Game Developer
67,11,1,5,2,8,yes,yes,Certificate in Banking and Finance,yes,RemoteWork,excellent,excellent,Financial Markets,Investment Banking,higherstudies,yes,yes,Dictionaries,Work,gentle,salary,hard worker,no,Banker
83,4,6,0,6,3,no,no,Teaching Certificate/License,no,OfficeBased,medium,excellent,Educational Psychology,Education Policy and Advocacy,job,yes,no,Trilogy,Work,stubborn,salary,hard worker,no,Teacher
81,11,3,3,2,2,yes,yes,Coursera: Foundations of Business Strategy,yes,Fieldwork,medium,excellent,The Lean Startup,Management Consulting,job,yes,yes,Encyclopedias,salary,gentle,salary,smart worker,yes,MBA
88,11,7,6,3,5,yes,yes,Certificate in Laboratory Techniques,no,OfficeBased,medium,medium,Lab Girl,Research and Development,job,yes,yes,Self help,Work,gentle,salary,smart worker,yes,Scientist
72,12,7,0,4,3,no,no,Certificate in Legal Studies,no,Fieldwork,medium,excellent,Legal Research and Writing,Corporate Law,higherstudies,no,no,Diaries,salary,gentle,salary,hard worker,yes,Lawyer
85,5,3,1,7,6,yes,no,Coursera: Introduction to Digital Marketing,yes,OfficeBased,poor,poor,Media Studies and Communication,Film and Television Production,job,yes,yes,Horror,Work,stubborn,work,hard worker,yes,Entertainment industry
90,5,9,3,1,9,yes,yes,Sports First Aid Certification,no,OfficeBased,poor,poor,Sports Management and Administration,Sports Marketing and Sponsorship,higherstudies,no,yes,Biographies,salary,gentle,salary,hard worker,no,Sports person
69,7,7,0,3,9,no,yes,Certificate in Legal Studies,no,RemoteWork,excellent,excellent,Legal Research and Writing,Corporate Law,job,yes,no,Art,Work,stubborn,work,hard worker,no,Lawyer
66,6,2,2,6,6,no,yes,Diploma in Pharmaceutical Sciences,no,Fieldwork,poor,medium,Pharmacology,Pharmaceutical Research and Development,job,no,yes,Fantasy,salary,gentle,salary,hard worker,yes,Pharmacy
87,11,7,4,3,5,yes,yes,Certificate in Media Production,no,Fieldwork,medium,excellent,Media Studies and Communication,Film and Television Production,job,no,no,Poetry,Work,gentle,salary,hard worker,yes,Entertainment industry
83,12,3,5,5,9,no,no,National Board Certification (NBC),no,Fieldwork,medium,medium,Educational Psychology,Educational Technology Specialist,job,no,no,Romance,Work,gentle,work,smart worker,no,Teacher
60,5,9,2,6,6,yes,no,Coursera: Introduction to Game Development,no,OfficeBased,excellent,medium,Game Programming Patterns,Game Design,job,no,yes,Trilogy,Work,gentle,work,hard worker,yes,Game Developer
71,7,1,6,6,8,yes,yes,Certificate in Financial Markets,no,Fieldwork,poor,excellent,Financial Statement Analysis,Financial Analysis,job,yes,yes,Encyclopedias,salary,gentle,salary,smart worker,no,Stock Investor
